
id           name                                                                                                                                       province                 hex                    
--           ----                                                                                                                                       --------                 ---                    
comp-udon-44 ห้างหุ้นส่วนจํากัด จีรนันท์ พร็อพเพอร์ตี้                                                                                                  อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-50 บริษัท ช.รุ่งอรุณ คอนสตรัคชั่น จํากัด                                                                                                      อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-20 ห้างหุ้นส่วนจํากัด เค พี โฮม                                                                                                               อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-31 บริษัท บ้านใหญ่ (2016) โฮม บิวเดอร์ จํากัด BAANYAI(2016)                                                                                   อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-10 บริษัท ทีที ดีไซน์ แอนด์ คอนสตรัคชั่น1991 จํากัด                                                                                           อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-08 บริษัท ทเวนตี้ซิกซ์ ดีเวลล็อปเมนท์ จํากัด                                                                                                  อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-09 บริษัท สุขสกล ดีเวลลอปเม้นท์ จํากัด NASIT HOME                                                                                             อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-57 บริษัท เอ็นทรัสท คอนสตรัคชั่น จํากัด                                                                                                       อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-46 บริษัท พีรพัฒน์ 999 บิวล์ดิ้ง แอนด์ เซอร์วิสเฮ้าส์ จํากัด                                                                                  อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-42 ซีที การก่อสร้าง                                                                                                                           อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-56 ห้างหุ้นส่วนจํากัด เกียรติรุ่งเรือง ก่อสร้าง                                                                                               อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-05 บริษัท มหารุ่งโรจน์โฮมบิลเดอร์ จํากัด                                                                                                      อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-58 เธซเนเธฒเธเธซเธธเนเธเธชเนเธงเธเธเธณเธเธฑเธ” เนเธกเน€เธชเธเธ”เธตเนเธเธเน เนเธญเธเธ”เน เธเธญเธเธชเธ•เธฃเธฑเธเธเธฑเนเธ เธญเธธเธ”เธฃเธเธฒเธเธต 0E40 0E18 0E0D 0E40 ...
comp-udon-49 บริษัท นิติพันธ์เฮ้าส์ ยูดี จํากัด                                                                                                         อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-17 บริษัท อีเฮาส์ คอนสตรัคชั่น แอนด์ ดีไซน์ จํากัด                                                                                            อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-03 บริษัท น่าอยู่เฮ้าส์ คอนสตรัคชั่น จํากัด                                                                                                   อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-55 ห้างหุ้นส่วนจํากัด ดีเอ็นเอ็น คอนสตรัคชั่น                                                                                                 อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-12 บริษัท มายด์ โฮม แอสเสท จํากัด                                                                                                             อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-51 รุ่งรัตน์บิวตี้โฮม รับเหมาสร้างบ้าน                                                                                                        อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-16 บริษัท 117อาร์คิเทคท์ จํากัด                                                                                                               อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-27 บริษัท บ้านวิศวะพัฒนา จํากัด                                                                                                               อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-35 IDYLLIC Construction                                                                                                                       อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-32 ห้างหุ้นส่วนจํากัด พีเอ แอนด์ ทีเอ็น                                                                                                       อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-22 ห้างหุ้นส่วนจำกัด กิจดลวรโชติ1                                                                                                             อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-01 บริษัท เลอ คราวน์ ดีไซน์ จํากัด                                                                                                            อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-48 ห้างหุ้นส่วนจํากัด บ้านดี อุดร                                                                                                             อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-43 ห้างหุ้นส่วนจํากัด หล้าก่ํา ทรัพย์เจริญยิ่ง                                                                                                อุดรธานี                 0E2D 0E38 0E14 0E23 ...
comp-udon-52 ห้างหุ้นส่วนจํากัด บ้านดี อยู่ดี ดีไซน์                                                                                                    อุดรธานี                 0E2D 0E38 0E14 0E23 ...
