"No","Name","District","Address","MapsUrl"
"1","บริษัท เลอ คราวน์ ดีไซน์ จำกัด","เมืองอุดรธานี","เมืองอุดรธานี จ.อุดรธานี","https://maps.app.goo.gl/foPzw9N15CtSM9hMA"
"2","ดรีมอัพรับสร้างบ้าน หน้ากองบิน23 - Dream Up House Builder","เมืองอุดรธานี","หน้ากองบิน 23 ต.หมากแข้ง อ.เมือง จ.อุดรธานี 41000","https://maps.app.goo.gl/12Ta5Yv63awVkTs17"
"3","บริษัท น่าอยู่เฮ้าส์ คอนสตรัคชั่น จำกัด","เมืองอุดรธานี","เมืองอุดรธานี จ.อุดรธานี 41000","https://maps.app.goo.gl/LpY6wzxXPWZWwvH18"
"4","บริษัท โมเดิร์น ดี (อุดรธานี) จำกัด","เมืองอุดรธานี","ถ.อุดรดุษฎี ต.หมากแข้ง อ.เมือง จ.อุดรธานี 41000","https://maps.app.goo.gl/MLNixirLwdTEhJ4R6"
"5","บริษัท มหารุ่งโรจน์โฮมบิลเดอร์ จำกัด","เมืองอุดรธานี","ถ.ทหาร ต.หมากแข้ง อ.เมือง จ.อุดรธานี 41000","https://maps.app.goo.gl/Yyz2TFS9NF6oMZVW9"
"6","บริษัท ฟังก์ชั่น ดีไซน์ คอนสตรัคชั่น จำกัด","เมืองอุดรธานี","เมืองอุดรธานี จ.อุดรธานี","https://maps.app.goo.gl/Si9W8xBUCZAw7RwA7"
"7","กัปตันซีวิล รับสร้างบ้าน อุดรธานี","เมืองอุดรธานี","อ.เมือง จ.อุดรธานี 41000","https://maps.app.goo.gl/NWcMbKHfNiNPdfhb8"
"8","บริษัท ทเวนตี้ซิกซ์ ดีเวลล็อปเมนท์ จำกัด","เมืองอุดรธานี","ต.บ้านจั่น อ.เมือง จ.อุดรธานี 41000","https://maps.app.goo.gl/FVFGk8KDANrwb91Y8"
"9","บริษัท สุขสกล ดีเวลลอปเม้นท์ จำกัด NASIT HOME","เมืองอุดรธานี","เมืองอุดรธานี จ.อุดรธานี","https://maps.app.goo.gl/JdU3AU4QqTyyFWhr9"
"10","บริษัท ทีที ดีไซน์ แอนด์ คอนสตรัคชั่น1991 จำกัด","เพ็ญ","อ.เพ็ญ จ.อุดรธานี","https://maps.app.goo.gl/553uWoK43EjVwNZA7"
"11","ห้างหุ้นส่วนจำกัด ยูดี.โฮมส์ เอ็นจิเนียริ่ง","เมืองอุดรธานี","ถ.รอบเมือง ต.หนองบัว อ.เมือง จ.อุดรธานี 41000","https://maps.app.goo.gl/TY33ErVrdAXybZZRA"
"12","บริษัท มายด์ โฮม แอสเสท จำกัด","เมืองอุดรธานี","เมืองอุดรธานี จ.อุดรธานี","https://maps.app.goo.gl/bAsJtsjYjtdoCWybA"
"13","PP HOUSE CONSTRUCTION & DESIGN","เมืองอุดรธานี","เมืองอุดรธานี จ.อุดรธานี","https://maps.app.goo.gl/qYcyFG52xWpkT5D4A"
"14","รับสร้างบ้านอุดรธานี By Concept Engineering","เมืองอุดรธานี","เมืองอุดรธานี จ.อุดรธานี","https://maps.app.goo.gl/mEK2YhfSVGFHKcat9"
"15","ศูนย์รับสร้างบ้านอุดรธานี โฟร เอสเตท 4ESTATE","เมืองอุดรธานี","เมืองอุดรธานี จ.อุดรธานี","https://maps.app.goo.gl/eanpALRZt3C4DJFF9"
"16","บริษัท 117อาร์คิเทคท์ จำกัด","เมืองอุดรธานี","เมืองอุดรธานี จ.อุดรธานี","https://maps.app.goo.gl/JHcPaso62g7RL2yz6"
"17","บริษัท อีเฮาส์ คอนสตรัคชั่น แอนด์ ดีไซน์ จำกัด","เมืองอุดรธานี","เมืองอุดรธานี จ.อุดรธานี","https://maps.app.goo.gl/8XeunP9KgTB8zPyC9"
"18","ห้างหุ้นส่วนจำกัด สันต์สิริ ดีไซน์ แอนด์ บิลด์","กุมภวาปี","อ.กุมภวาปี จ.อุดรธานี","https://maps.app.goo.gl/ciHZXcwHN3bHQH6Z6"
"19","Little Home รับสร้างบ้าน","เมืองอุดรธานี","เมืองอุดรธานี จ.อุดรธานี","https://maps.app.goo.gl/ZBx4wcz8XLtY6ZaU8"
"20","หจก.เค.พี.โฮม","เมืองอุดรธานี","เมืองอุดรธานี จ.อุดรธานี","https://maps.app.goo.gl/jaEv7S9hQd4k6BtC6"
"21","ห้างหุ้นส่วนจำกัด คิดดีเฮาส์คอนสทรัคชั่น","เมืองอุดรธานี","เมืองอุดรธานี จ.อุดรธานี","https://maps.app.goo.gl/EwJXZoaML2cEZwYZ7"
"22","ห้างหุ้นส่วนจำกัด กิจดลวรโชติ1","หนองหาน","208 ตำบล โพนงาม อำเภอหนองหาน อุดรธานี 41130 ประเทศไทย","https://www.google.com/maps/search/?api=1&query=ห้างหุ้นส่วนจำกัด+กิจดลวรโชติ1+หนองหาน+อุดรธานี"
"23","อภิญญา ก่อสร้าง Apinya Construction","หนองหาน","อ.หนองหาน จ.อุดรธานี","https://maps.app.goo.gl/akUxDHyGEwG19reH8"
"24","ห้างหุ้นส่วนจำกัด ฟู่เฮ้าส์ อินทีเรีย ดีไซน์ FU House Interior Design","พิบูลย์รักษ์","อ.พิบูลย์รักษ์ จ.อุดรธานี","https://maps.app.goo.gl/Vu7M4NUqxycvShmn9"
"25","หจก.บ้านรักษ์อุดรธานี","เมืองอุดรธานี","เมืองอุดรธานี จ.อุดรธานี","https://maps.app.goo.gl/FZn8CZd8TZEupkLW9"
"26","บริษัทกิตติศักดิ์การก่อสร้าง แอนด์ดีไซน์ สาขาอุดรธานี (ออฟฟิศบ้านสวน)","กู่แก้ว","อ.กู่แก้ว จ.อุดรธานี","https://maps.app.goo.gl/1KYvUz75czBcHm8v5"
"27","บ้านวิศวะ คอนสตรัคชั่น / Baanwisawa Construction Ltd.,PART","เมืองอุดรธานี","เมืองอุดรธานี จ.อุดรธานี","https://maps.app.goo.gl/XyrAGFjdebLLkp5q9"
"28","บริษัท การิน บ้านสวย จำกัด (Karin Bansuay)","เมืองอุดรธานี","เมืองอุดรธานี จ.อุดรธานี","https://maps.app.goo.gl/7z72u7gtyswCyU6o6"
"29","บริษัท อ.เจริญก่อสร้าง คอนสตรัคชั่น จำกัด","เมืองอุดรธานี","เมืองอุดรธานี จ.อุดรธานี","https://maps.app.goo.gl/q2HdGPacB4MeHS8d6"
"30","บ้านทุ่งพี่ณิชา&น้องณัชชา","เมืองอุดรธานี","เมืองอุดรธานี จ.อุดรธานี","https://maps.app.goo.gl/RACSBs46UeBzcEmKA"
"31","บริษัท แพลน-ดี คอนสตรัคชั่น จำกัด","เมืองอุดรธานี","เมืองอุดรธานี จ.อุดรธานี","https://maps.app.goo.gl/NSJJDZPRKru1owkr7"
"32","บริษัท บ้านใหญ่ (2016) โฮม บิวเดอร์ จำกัด BAANYAI(2016)","เมืองอุดรธานี","เมืองอุดรธานี จ.อุดรธานี","https://maps.app.goo.gl/xhY5ipfir6RTRXLR9"
